image_id,true_class,pred_class,confidence,correct,baseline,target,n_steps,raw_path
ISIC_0026178,akiec,akiec,0.37441614270210266,True,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/00_ISIC_0026178_black_pred.npy
ISIC_0026178,akiec,akiec,0.37441614270210266,True,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/00_ISIC_0026178_blurred_pred.npy
ISIC_0027506,akiec,akiec,0.7923764586448669,True,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/01_ISIC_0027506_black_pred.npy
ISIC_0027506,akiec,akiec,0.7923764586448669,True,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/01_ISIC_0027506_blurred_pred.npy
ISIC_0026927,akiec,akiec,0.9379407167434692,True,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/02_ISIC_0026927_black_pred.npy
ISIC_0026927,akiec,akiec,0.9379407167434692,True,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/02_ISIC_0026927_blurred_pred.npy
ISIC_0032455,akiec,akiec,0.9906215667724609,True,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/03_ISIC_0032455_black_pred.npy
ISIC_0032455,akiec,akiec,0.9906215667724609,True,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/correct/03_ISIC_0032455_blurred_pred.npy
ISIC_0026549,akiec,bcc,0.42071232199668884,False,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/04_ISIC_0026549_black_pred.npy
ISIC_0026549,akiec,bcc,0.42071232199668884,False,black,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/04_ISIC_0026549_black_true.npy
ISIC_0026549,akiec,bcc,0.42071232199668884,False,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/04_ISIC_0026549_blurred_pred.npy
ISIC_0026549,akiec,bcc,0.42071232199668884,False,blurred,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/04_ISIC_0026549_blurred_true.npy
ISIC_0029371,akiec,bcc,0.5627811551094055,False,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/05_ISIC_0029371_black_pred.npy
ISIC_0029371,akiec,bcc,0.5627811551094055,False,black,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/05_ISIC_0029371_black_true.npy
ISIC_0029371,akiec,bcc,0.5627811551094055,False,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/05_ISIC_0029371_blurred_pred.npy
ISIC_0029371,akiec,bcc,0.5627811551094055,False,blurred,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/05_ISIC_0029371_blurred_true.npy
ISIC_0030341,akiec,bcc,0.962181568145752,False,black,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/06_ISIC_0030341_black_pred.npy
ISIC_0030341,akiec,bcc,0.962181568145752,False,black,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/06_ISIC_0030341_black_true.npy
ISIC_0030341,akiec,bcc,0.962181568145752,False,blurred,pred,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/06_ISIC_0030341_blurred_pred.npy
ISIC_0030341,akiec,bcc,0.962181568145752,False,blurred,true,50,ham10000/results/xai/integrated_gradients/convnext-tiny_fold0/raw/failures/06_ISIC_0030341_blurred_true.npy
